"Offense","Defense","Home","Away","Offense Score","Defense Score","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type"
"Navy","Army","Army","Navy","10","3","4","7","3","2","3","30","2","10","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","10","3","4","6","38","2","3","30","3","10","false","20","Pass Reception"
"Navy","Army","Army","Navy","10","3","4","6","13","2","3","50","1","10","false","4","Rush"
"Navy","Army","Army","Navy","10","3","4","5","55","2","3","54","2","6","false","3","Rush"
"Navy","Army","Army","Navy","10","3","4","5","14","2","3","57","3","3","false","-5","Penalty"
"Navy","Army","Army","Navy","16","3","4","4","49","2","3","52","3","8","true","44","Sack"
"Army","Navy","Army","Navy","3","17","4","4","49","3","2","35","1","10","false","39","Kickoff"
"Navy","Army","Army","Navy","17","3","4","4","25","2","3","41","1","10","false","7","Rush"
"Navy","Army","Army","Navy","17","3","4","4","19","2","3","48","2","3","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","17","3","4","3","41","2","3","48","3","3","false","-4","Sack"
"Navy","Army","Army","Navy","17","3","4","3","16","2","3","44","4","7","false","13","Pass Reception"
"Navy","Army","Army","Navy","17","3","4","3","1","2","3","57","1","10","false","15","Pass Reception"
"Navy","Army","Army","Navy","17","3","4","2","53","2","3","72","1","10","false","14","Pass Reception"
"Navy","Army","Army","Navy","17","9","4","2","47","2","3","86","1","10","true","14","Passing Touchdown"
"Navy","Army","Army","Navy","17","9","4","2","47","2","3","35","1","10","false","0","Kickoff"
"Army","Navy","Army","Navy","9","17","4","2","47","3","2","55","1","10","false","-5","Penalty"
"Army","Navy","Army","Navy","9","17","4","2","47","3","2","50","1","15","false","-5","Penalty"
"Army","Navy","Army","Navy","9","17","4","2","40","3","2","45","1","20","false","7","Rush"
"Army","Navy","Army","Navy","9","17","4","2","40","3","1","52","2","13","false","0","Timeout"
"Army","Navy","Army","Navy","9","17","4","2","36","3","1","52","2","13","false","2","Rush"
"Army","Navy","Army","Navy","9","17","4","2","36","3","0","54","3","11","false","0","Timeout"
"Army","Navy","Army","Navy","9","17","4","2","5","3","0","54","3","11","false","8","Rush"
"Army","Navy","Army","Navy","9","17","4","1","48","2","0","62","4","3","false","0","Timeout"
"Army","Navy","Army","Navy","9","17","4","1","39","2","0","62","4","3","false","0","Punt"
"Navy","Army","Army","Navy","17","9","4","1","20","0","2","27","1","10","false","9","Rush"
"Navy","Army","Army","Navy","17","9","4","1","1","0","2","36","2","1","false","28","Pass Reception"
"Navy","Army","Army","Navy","17","9","4","0","57","0","2","64","1","10","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","17","9","4","0","45","0","2","64","2","10","false","9","Pass Reception"
"Navy","Army","Army","Navy","17","9","4","0","35","0","2","73","3","1","false","10","Pass Reception"
"Navy","Army","Army","Navy","17","9","4","0","23","0","2","83","1","10","false","11","Pass Reception"
"Navy","Army","Army","Navy","17","9","4","0","22","0","2","94","1","6","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","17","9","4","0","20","0","2","94","2","6","false","0","Pass Incompletion"
"Navy","Army","Army","Navy","17","9","4","0","7","0","2","94","3","6","false","4","Pass Reception"
"Navy","Army","Army","Navy","17","9","4","0","3","0","2","98","4","2","false","1","Rush"
